日期,1129B价格（元/吨）,1129B涨跌,2129B价格（元/吨）,2129B涨跌,3128B价格（元/吨）,3128B涨跌,4128B价格（元/吨）,4128B涨跌,1228B价格（元/吨）,1228B涨跌,2227B价格（元/吨）,2227B涨跌
2016-01-04,13966,0,13555,0,12923,1,12367,0,12407,-3,11861,-8
2016-01-05,13966,0,13555,0,12923,0,12361,-6,12402,-5,11860,-1
2016-01-06,13966,0,13555,0,12920,-3,12352,-9,12402,0,11856,-4
2016-01-07,13966,0,13549,-6,12919,-1,12352,0,12400,-2,11855,-1
2016-01-08,13823,-143,13418,-131,12796,-123,12301,-51,12399,-1,11855,0
2016-01-11,13730,-93,13337,-81,12773,-23,12285,-16,12397,-2,11855,0
2016-01-12,13725,-5,13316,-21,12767,-6,12283,-2,12377,-20,11855,0
2016-01-13,13706,-19,13313,-3,12762,-5,12281,-2,12377,0,11827,-28
2016-01-14,13706,0,13293,-20,12736,-26,12277,-4,12366,-11,11822,-5
2016-01-15,13627,-79,13271,-22,12679,-57,12229,-48,12328,-38,11810,-12
2016-01-18,13592,-35,13246,-25,12663,-16,12229,0,12319,-9,11800,-10
2016-01-19,13585,-7,13223,-23,12619,-44,12203,-26,12302,-17,11770,-30
2016-01-20,13539,-46,13167,-56,12572,-47,12177,-26,12276,-26,11741,-29
2016-01-21,13489,-50,13139,-28,12525,-47,12169,-8,12258,-18,11719,-22
2016-01-22,13463,-26,13097,-42,12498,-27,12156,-13,12247,-11,11708,-11
2016-01-25,13431,-32,13069,-28,12451,-47,12133,-23,12222,-25,11658,-50
2016-01-26,13408,-23,13019,-50,12435,-16,12087,-46,12195,-27,11638,-20
2016-01-27,13367,-41,12988,-31,12389,-46,12055,-32,12171,-23,11592,-46
2016-01-28,13358,-9,12957,-31,12358,-31,12002,-53,12131,-41,11572,-20
2016-02-01,13327,0,12928,-10,12333,-15,11931,-15,12049,-6,11549,-1
2016-02-02,13327,0,12927,-1,12328,-5,11926,-5,12043,-6,11533,-16
2016-02-03,13311,-16,12922,-5,12322,-6,11921,-5,12043,0,11530,-3
2016-02-04,13311,0,12919,-3,12317,-2,11919,-2,12037,-6,11528,-2
2016-02-05,13311,0,12913,-6,12311,-6,11913,-6,12036,-1,11519,-9
2016-02-06,13311,0,12905,-8,12308,-3,11897,-16,12031,-5,11512,-7
2016-02-14,13308,-3,12899,-6,12301,-7,11889,-8,12019,-12,11506,-6
2016-02-15,13308,0,12899,0,12296,-5,11886,-3,12019,0,11505,-1
2016-02-16,13303,-5,12888,-11,12280,-16,11867,-19,11982,-37,11498,-7
2016-02-17,13303,0,12876,-12,12270,-10,11857,-10,11973,-9,11469,-29
2016-02-18,13303,0,12833,-43,12237,-33,11816,-41,11947,-26,11420,-49
2016-02-19,13303,0,12817,-16,12219,-18,11805,-11,11926,-21,11411,-9
2016-02-22,13247,-56,12798,-19,12209,-10,11793,-12,11917,-9,11398,-13
2016-02-23,13235,-12,12793,-5,12200,-9,11791,-2,11906,-11,11390,-8
2016-02-24,13235,0,12792,-1,12193,-7,11786,-5,11906,0,11379,-11
2016-02-25,13235,0,12781,-11,12190,-3,11779,-7,11903,-3,11379,0
2016-02-26,13187,-48,12701,-80,12119,-71,11740,-39,11892,-11,11363,-16
2016-03-01,13137,-19,12633,-8,12088,-2,11687,-12,11808,-23,11339,-9
2016-03-02,13137,0,12626,-7,12081,-7,11666,-21,11793,-15,11328,-11
2016-03-03,13130,-7,12603,-23,12068,-13,11658,-8,11788,-5,11289,-39
2016-03-04,13130,0,12598,-5,12063,-5,11657,-1,11787,-1,11281,-8
2016-03-07,13019,-111,12541,-57,12020,-43,11585,-72,11738,-49,11239,-42
2016-03-08,12993,-26,12541,0,12015,-5,11579,-6,11737,-1,11237,-2
2016-03-09,12982,-11,12521,-20,12013,-2,11563,-16,11711,-26,11188,-49
